241. E1/E2 	16614 / 2714	38573 ms 26956/435 1273-4825-438	E: 3208 / 2273
242. E1/E2 	16538 / 2699	38383 ms 26956/437 1277-4787-223	E: 3072 / 1808
243. E1/E2 	16526 / 2676	38665 ms 27245/446 1284-4814-221	E: 2785 / 1748
244. E1/E2 	16488 / 2614	38028 ms 27050/428 1251-4648-1	E: 2547 / 1627
245. E1/E2 	16477 / 2616	38701 ms 27017/429 1263-4677-672	E: 2684 / 1688
246. E1/E2 	16540 / 2604	38725 ms 27325/444 1243-4625-445	E: 2496 / 1684
247. E1/E2 	16581 / 2633	38759 ms 27084/438 1269-4673-664	E: 3047 / 2172
248. E1/E2 	16487 / 2592	39342 ms 26991/437 1283-4662-1337	E: 2880 / 1870
249. E1/E2 	16416 / 2629	39272 ms 27172/439 1237-4683-1088	E: 2897 / 1818
250. E1/E2 	16439 / 2557	38521 ms 26911/428 1267-4605-663	E: 2683 / 1779
251. E1/E2 	16404 / 2626	38227 ms 27006/436 1245-4659-223	E: 3028 / 1805
252. E1/E2 	16418 / 2608	39391 ms 27037/438 1257-4654-1115	E: 2710 / 1670
253. E1/E2 	16354 / 2561	38966 ms 27257/443 1275-4633-673	E: 3527 / 2460
254. E1/E2 	16319 / 2650	38627 ms 27089/444 1250-4732-439	E: 3061 / 1959
255. E1/E2 	16375 / 2494	38913 ms 27355/439 1257-4487-442	E: 2613 / 1639
256. E1/E2 	16317 / 2608	39284 ms 27127/440 1257-4659-1110	E: 3660 / 1850
257. E1/E2 	16325 / 2583	38392 ms 27160/439 1270-4654-221	E: 3291 / 2046
258. E1/E2 	16279 / 2621	39029 ms 27453/450 1263-4740-442	E: 3805 / 2112
259. E1/E2 	16223 / 2640	39097 ms 27102/432 1251-4717-894	E: 3210 / 1817
260. E1/E2 	16521 / 2585	38832 ms 26998/429 1279-4652-666	E: 2644 / 1704
261. E1/E2 	16345 / 2598	39155 ms 27494/444 1243-4636-659	E: 3093 / 1913
262. E1/E2 	16326 / 2679	39591 ms 27182/439 1277-4849-1115	E: 2801 / 1769
263. E1/E2 	16270 / 2562	39365 ms 27221/438 1272-4634-1105	E: 2756 / 1527
264. E1/E2 	16172 / 2505	38968 ms 27439/445 1229-4492-650	E: 2373 / 1588
265. E1/E2 	16130 / 2562	38935 ms 27249/432 1252-4624-658	E: 3328 / 2281
266. E1/E2 	16239 / 2570	39045 ms 27217/437 1249-4586-879	E: 2820 / 1746
267. E1/E2 	16216 / 2558	38890 ms 27278/444 1232-4557-668	E: 3050 / 1814
268. E1/E2 	16272 / 2600	38240 ms 27144/441 1270-4687-1	E: 3145 / 1968
269. E1/E2 	16283 / 2578	39508 ms 27198/434 1237-4626-1348	E: 4344 / 2443
270. E1/E2 	16258 / 2512	38742 ms 27597/441 1245-4551-220	E: 3178 / 1888
271. E1/E2 	16226 / 2563	38792 ms 27418/439 1220-4522-445	E: 4057 / 2396
272. E1/E2 	16181 / 2471	38982 ms 27279/442 1241-4430-886	E: 3311 / 1988
273. E1/E2 	16242 / 2594	38811 ms 27740/450 1249-4694-1	E: 2981 / 1840
274. E1/E2 	16176 / 2513	38604 ms 27268/435 1236-4476-441	E: 2614 / 1715
275. E1/E2 	16236 / 2543	39559 ms 27786/442 1205-4524-883	E: 2958 / 1807
276. E1/E2 	16074 / 2550	38966 ms 27551/441 1216-4576-441	E: 4001 / 2794
277. E1/E2 	16094 / 2625	39073 ms 27242/440 1248-4730-651	E: 2702 / 1817
278. E1/E2 	16138 / 2532	39053 ms 27401/442 1256-4592-666	E: 2629 / 1677
